,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
217,LDHB,2.64830763999312e-167,0.478779073017779,0.513676954080592,0.443881191954966,1.47255668129756e-165
218,MAP3K2,3.50531316712399e-167,0.456960186519821,0.489505290150861,0.424415082888781,1.94014259974854e-165
219,AGPAT3,5.10285602338458e-167,-0.428334191760714,-0.39875102896284,-0.457917354558587,2.81146396247298e-165
220,VOPP1,1.23768813151216e-166,-0.415882085676458,-0.387591569936665,-0.444172601416252,6.78815681582988e-165
221,EEF1B2,3.13134403141306e-166,0.414011863750246,0.444273916378198,0.383749811122294,1.70962882728642e-164
222,EIF4B,7.19904879315086e-165,0.380348509425594,0.409232924133895,0.351464094717292,3.91278030352065e-163
223,CPEB2,2.10912726018549e-163,0.37527346489639,0.403586975460507,0.346959954332272,1.14119863324655e-161
224,TRIM22,3.32111556013954e-162,-0.454151270896952,-0.421082747364249,-0.487219794429655,1.78895447985017e-160
225,NLRP1,2.21834475118694e-161,0.409459821654912,0.440939888165559,0.377979755144264,1.18962434523651e-159
226,B4GALT5,2.38487826594328e-161,-0.507748887806321,-0.471733179547105,-0.543764596065537,1.27327173260494e-159
227,PTGER2,2.79408567359546e-161,-0.627444339959337,-0.582612146857624,-0.67227653306105,1.48517346861687e-159
228,LY86,1.72586826699083e-160,0.463078571397621,0.496268004252268,0.429889138542973,9.13347653925934e-159
229,XKR8,6.15100409927351e-160,-0.463753685997624,-0.431058741213679,-0.49644863078157,3.24096137387922e-158
230,WDR45B,1.41451812515318e-159,0.456702548719416,0.490660180045209,0.422744917393622,7.42068508612967e-158
231,STAT2,2.04647536649931e-158,-0.435460260650494,-0.404979111551866,-0.465941409749123,1.06895115896886e-156
232,HSH2D,3.50409322049857e-158,-0.31321020425883,-0.29056002270249,-0.335860385815169,1.82243055166102e-156
233,RMND5A,1.3678310706104e-157,0.415758970183936,0.447279785078487,0.384238155289384,7.08336896909231e-156
234,AIF1,2.38003414594169e-157,-0.406637813548876,-0.3775507265827,-0.435724900515052,1.22724324807404e-155
235,DUSP7,3.15614398046928e-157,-0.526964477132955,-0.489568798238122,-0.564360156027789,1.62051205397201e-155
236,BCL11A,7.82318386053626e-157,0.388857466502094,0.417924267022827,0.35979066598136,3.99976849411994e-155
237,RPH3A,1.06027918836955e-156,0.187612884938385,0.204619705923205,0.170606063953566,5.39802898180042e-155
238,ANXA2,2.34308668068529e-156,-0.452494278867685,-0.419636724384181,-0.485351833351189,1.18788587769532e-154
239,NINJ1,1.52374672260213e-155,0.450476093495924,0.483063041796663,0.417889145195186,7.69268952088592e-154
240,PICALM,1.69059881385703e-155,0.405587006333031,0.435024744136209,0.376149268529853,8.49948553666622e-154
241,DIAPH1,5.07464031962417e-155,-0.453084810419359,-0.419720887764378,-0.48644873307434,2.54068921562595e-153
242,UBA52,5.81220184393053e-155,0.387003758431981,0.415132097496472,0.358875419367491,2.89793501854817e-153
243,ZNF358,3.85933721794072e-154,0.263419551787278,0.284268869745825,0.24257023382873,1.91632769019229e-152
244,PID1,1.00596405030194e-153,0.332964093139136,0.359698933936867,0.306229252341406,4.97457468481277e-152
245,NFIL3,1.39946208112521e-153,0.566339143430139,0.607911567306533,0.524766719553746,6.8922079472885e-152
246,SAMD4A,1.97433736034595e-153,-0.194443713189596,-0.180161687969133,-0.208725738410059,9.68388397964806e-152
247,EEPD1,3.8503951507248e-153,0.364218368441921,0.391937024906175,0.336499711977666,1.88092582545123e-151
248,TNFSF10,1.41832249068832e-152,-0.483474582957624,-0.448466015908095,-0.518483150007153,6.90059644058276e-151
249,CSF3R,2.165436056058e-152,0.436330689507206,0.468417749574068,0.404243629440344,1.04932335150184e-150
250,MDM4,1.19770917431409e-151,0.433645822246861,0.465474217528336,0.401817426965386,5.78062355890955e-150
251,IGSF6,1.79371138543759e-151,-0.468152715318345,-0.434392127368499,-0.501913303268192,8.62267791899997e-150
252,PRKACA,1.14361144919928e-150,0.376024717217467,0.403596055443326,0.348453378991609,5.47572053414225e-149
253,METTL9,6.66740737590143e-149,0.428292881986338,0.46038265206774,0.396203111904936,3.17979989713939e-147
254,HNRNPA0,6.99784789215595e-149,0.400006088156421,0.429896363186032,0.37011581312681,3.3242532545966e-147
255,CFL1,1.39764892005208e-148,-0.323314208170358,-0.299229777102015,-0.347398639238702,6.61334583111703e-147
