,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
10641,ZNF799,0.0806649443394855,0.0138947365568413,0.0351357345245032,-0.00734626141082056,0.0955456215068956
10642,PYCR1,0.080926594842259,-0.0237573569778093,0.00533222590732544,-0.0528469398629441,0.0958465327374396
10643,LMNTD2,0.0809795351710946,-0.0193508553173389,0.000251111903599981,-0.0389528225382779,0.095900221863805
10644,SENP6,0.0812858385346346,-0.0653094045705838,0.0132958679529418,-0.143914677094109,0.0962539185353753
10645,SPNS2,0.0813457681755264,0.0287962456758306,0.11782902830961,-0.0602365369579492,0.0963158348599657
10646,C2orf92,0.0814962492218859,-0.0204470337825494,0.0118531766095873,-0.0527472441746861,0.09648494506788
10647,MTHFS,0.0816470401907178,-0.00749255963738209,0.0270425013104278,-0.042027620585192,0.0966543903976525
10648,FBXO24,0.0820368250580447,0.00784714183873414,0.0197055574893078,-0.00401127381183951,0.0971067001344474
10649,CCDC183,0.0823201524509822,0.00177234221447944,0.0329330182272836,-0.0293883337983247,0.0974329234193051
10650,SNX13,0.0824896795010569,-0.0169204301458943,0.0421832951202657,-0.0760241554120542,0.0976244056743024
10651,FHOD1,0.0825849679513641,0.0521232103691548,0.12394405512051,-0.0196976343822008,0.097728000756642
10652,SLC2A4,0.0827271097480791,-0.00154999141905283,0.017078908310924,-0.0201788911490297,0.0978870157026651
10653,CCN3,0.0828315019565047,-0.0166203522476326,-0.000409003745497731,-0.0328317007497675,0.0980013377133
10654,DHRS3,0.0834602255492814,0.00232618451962821,0.00590210125830445,-0.00124973221904802,0.0987359379409745
10655,C17orf67,0.0836741184228505,-0.0110165267598205,0.000560954470132959,-0.022594007989774,0.0989796892164813
10656,PARVG,0.0840193088094208,-0.00156917777695331,0.0811246546813374,-0.084263010235244,0.0993786944663982
10657,SAMD3,0.0841058545107361,-0.00925899735036591,0.000761554774465044,-0.0192795494751969,0.0994717265884693
10658,SOX5,0.0844218481742841,NA,NA,NA,0.0998360831665112
10659,PUDP,0.0846211891514965,-0.00717534084276997,0.0151088683305074,-0.0294595500160473,0.1000624325045
10660,TSSK4,0.0848339036411789,-0.0152671469002646,0.00452575168233243,-0.0350600454828615,0.100304551734842
10661,DIP2B,0.0850574081218388,0.0637492358020487,0.134709578492018,-0.00721110688792015,0.100559382043678
10662,NCAPG,0.0854125577163866,-0.0129436846553606,0.000317701662001032,-0.0262050709727221,0.100969787793785
10663,ZNF74,0.0855094442377453,-0.00841763440495345,0.0124864536874067,-0.0293217224973136,0.1010748415242
10664,ZNF175,0.0855845983860794,-0.0582809264763982,-5.68655179310276e-05,-0.116504987434865,0.101154189615355
10665,LCN10,0.0858988296509822,-0.00370398629664762,0.00377954504287194,-0.0111875176361672,0.101516066471728
10666,ZNF100,0.0859442198853969,0.0107687924543087,0.0334706017403962,-0.0119330168317788,0.101560186333728
10667,HAL,0.0860383091370955,-0.013160690654288,0.00189298487699615,-0.0282143661855722,0.101661840101617
10668,TUBB1,0.0861301757396922,0.0116978500721158,0.0221749079578424,0.00122079218638926,0.101760848802313
10669,PRDM11,0.0861795155540354,-0.00498307807590437,0.0186527973296602,-0.028618953481469,0.101809599216708
10670,PYGM,0.0862484811346116,-0.0168455084149735,0.000302552511447736,-0.0339935693413948,0.101881523544578
10671,SLFN14,0.0863679343966882,0.00438035888019521,0.0152001374995205,-0.00643941973913008,0.102013067672745
10672,ZFHX2,0.0867146370612503,-0.0153181100263247,0.00503941642720798,-0.0356756364798573,0.102412976529235
10673,AXIN2,0.086752690416426,NA,NA,NA,0.10244831912383
10674,ZNF713,0.0869856620684351,-0.0198904835467285,0.00709774886740059,-0.0468787159608576,0.102713817192295
10675,TREML4,0.0871615666556132,0.00566838382639697,0.0185021597467957,-0.00716539209400178,0.102911886288276
10676,CDC45,0.0873486691973525,-0.00208267836890094,0.0147245362468283,-0.0188898929846302,0.103123138494139
10677,MPZL3,0.0876114413539753,-0.0234214725464407,0.0021046707457655,-0.048947615838647,0.103423677702117
10678,SLC14A1,0.0876574019309509,0.0174687199298434,0.0372615382514818,-0.00232409839179507,0.103468242548952
10679,TPH1,0.0877217273241974,0.00737228266659771,0.0281935779311288,-0.0134490125979334,0.10353447431353
10680,CBLN3,0.0878400216031269,-0.013420760661487,0.000733218513259668,-0.0275747398362336,0.103664385045488
10681,SNX22,0.0881822602568754,NA,NA,NA,0.104058534620135
10682,MTPN,0.0882704025840581,0.0609157052897633,0.141888993357514,-0.0200575827779877,0.104152794810847
10683,ZNF324B,0.0884358669676102,0.00522067688646962,0.0106763279878832,-0.000234974214943962,0.104338263339863
10684,AQP10,0.0884619453458468,NA,NA,NA,0.104359262367938
10685,FAM120A,0.0886125354838068,0.00565153598737367,0.0888850302657739,-0.0775819582910265,0.104527131234244
10686,PCDHGA11,0.0894216667947018,-0.0233220983938326,0.00333850841045324,-0.0499827051981184,0.105471709552725
10687,ZNF143,0.089490994434165,0.0058345871324284,0.0424763249811552,-0.0308071507162984,0.10554360380352
10688,ENKUR,0.0897552287599961,NA,NA,NA,0.105845331520489
10689,ABHD15,0.0899146349268116,0.0111379285638639,0.0522866470390071,-0.0300107899112792,0.106023394014177
10690,SIRPD,0.0900496804901515,NA,NA,NA,0.1061727009259
10691,TBC1D9B,0.0901362712322206,0.0786371530158134,0.161056725545644,-0.00378241951401721,0.106254916069109
10692,TBPL1,0.0901362460187535,-0.00331827260788818,0.0316375264131733,-0.0382740716289497,0.106254916069109
10693,TYW3,0.0903735117109042,-0.0234474184628858,0.0525550767050463,-0.0994499136308179,0.106524618124403
10694,ZNF490,0.0904115853456297,0.0293863700720374,0.0773737283360132,-0.0186009881919384,0.106559530736517
10695,TIGAR,0.090540840944274,0.00814260908182737,0.0167251560458946,-0.00043993788223985,0.106701894274112
10696,EHMT1,0.0905627071455571,-0.0188936144174947,0.0658371640070406,-0.10362439284203,0.106717685196578
10697,ZNF202,0.0907443262675219,0.00779154179396263,0.0309948128258175,-0.0154117292378922,0.106921705924637
10698,SNTB2,0.0907548252764201,-0.00788439810996206,0.00151513450247224,-0.0172839307223963,0.10692408092952
10699,KCNG2,0.0908309727731948,0.00886055327285692,0.018425013056804,-0.000703906511090122,0.107003792955729
10700,ACACA,0.0913042949859055,0.0496612602724358,0.115276032869315,-0.0159535123244433,0.107551339626388
10701,ARHGAP24,0.091524261337049,NA,NA,NA,0.107800372852272
10702,CD180,0.0918985193559136,0.00465946073240718,0.00974267809595371,-0.000423756631139352,0.108223143767587
10703,GPR180,0.0919003735119396,-0.0288956858872142,0.00107092371872843,-0.0588622954931569,0.108223143767587
10704,TTLL10,0.0919751703674794,-0.0161629962335592,-3.05535556420385e-05,-0.0322954389114763,0.108301106811632
10705,FLII,0.0921107343468346,0.0379063296473143,0.124375332067013,-0.0485626727723842,0.108450602121205
10706,SERPINB10,0.0923080740075352,NA,NA,NA,0.108672797010179
10707,GMEB2,0.0924706497592805,-0.0212238915908382,0.0250720824034898,-0.0675198655851661,0.108854027231341
10708,TYRO3,0.0924991303619399,0.00100933189909699,0.0184395326020995,-0.0164208688039055,0.108877385046871
10709,DDX6,0.092567122801864,0.000769361648269573,0.0737849206134748,-0.0722461973169356,0.108947242113614
10710,MBNL1,0.0926430287483506,-0.0406754451209412,0.0351126408545927,-0.116463531096475,0.109026399098432
10711,TDRP,0.0926656674824731,-0.0080413890444688,0.00106085400676396,-0.0171436320957016,0.1090428599523
10712,RNF227,0.0927562920223115,-0.0274245518323088,-0.00157266492417208,-0.0532764387404455,0.109139311487044
10713,HNRNPM,0.0931385729426772,-0.0472486113532715,0.0332102225380433,-0.127707445244586,0.109578882980445
10714,ELL3,0.0931956449672585,-0.0088498136888648,0.00070945192365761,-0.0184090793013872,0.109635795143488
10715,H2AC6,0.0934183863445312,-0.0217723114408963,0.00731170766008937,-0.050856330541882,0.109887572700557
10716,GTPBP10,0.0934764442619205,-0.0498569748023125,0.00699292769771457,-0.10670687730234,0.109945605027739
10717,XYLB,0.0936250704513749,-0.0117119764616388,0.000465444499283943,-0.0238893974225615,0.110110141641236
10718,ABI3,0.093854235759695,NA,NA,NA,0.110369358790371
10719,FUNDC2,0.0940007927142364,-0.00637451184211731,0.0201380717464977,-0.0328870954307323,0.11053139204872
10720,NCEH1,0.094175378628744,-0.00350418262272779,0.0165921424732481,-0.0236005077187037,0.110726350022079
10721,NCBP2,0.0942801861609663,-0.0171026685889312,0.0552514927768931,-0.0894568299547554,0.110839237605897
10722,NXF3,0.0944174316167002,-0.00900116135964442,0.000851970259259347,-0.0188542929785482,0.110990235785944
10723,BARD1,0.0944437734703754,0.00595119534562358,0.0433197364909215,-0.0314173457996743,0.111010847787057
